id,utrip_id,city_id,hotel_country
0,1038944_1,54085,Sokovia
1,1068715_1,29319,Cobra Island
2,1075528_1,55763,Bozatta
3,1110462_4,11930,Alvonia
4,1132565_1,58659,Axphain
5,1154346_1,56590,Marina Venetta
6,1212276_1,67025,Borginia
7,1216960_1,40413,Gondal
8,1222345_1,58299,The Devilfire Empire
9,1237581_2,2416,Drusselstein
10,1247561_1,55284,Rolisica
11,124951_5,27115,Gondal
12,1249571_1,17764,Rook Islands
13,1249810_1,3712,"Merania, Kingdom of"
14,1254689_2,51090,Yerba
15,125582_1,58222,Turgistan
16,1257778_4,42356,Idris
17,1277291_1,47499,Kangan
18,1277323_2,44320,Gondal
19,1282166_1,50811,Glubbdubdrib
20,1292536_2,21591,Axphain
21,1324254_2,36063,Gondal
22,1332429_2,17013,Borginia
23,1341667_1,16521,Carjackistan
24,1348282_1,31873,Glubbdubdrib
25,1357696_2,12320,Cobra Island
26,1358165_1,25269,Fook Island
27,1373359_1,8462,Rolisica
28,1388937_1,35811,Syldavia
29,1395921_2,8462,Rolisica
30,1414095_2,27624,Santa Prisca
31,1436443_3,43969,Naruba
32,1461361_3,10092,Cobra Island
33,147285_1,19444,Carpathia
34,1524853_4,57373,Glubbdubdrib
35,1535056_1,60222,Borginia
36,160889_1,57658,Leutonia
37,1617878_2,14211,Axphain
38,1629692_1,53450,Gondal
39,1637257_1,39052,Gondal
40,1650315_1,2416,Drusselstein
41,1670328_3,10060,Novistrana
42,1672741_1,51259,Oceania
43,1755606_2,65269,Holy Britannian Empire
44,1799769_1,17775,Novistrana
45,1826134_1,18311,Cobra Island
46,1829401_1,60002,Gondal
47,1867142_1,60143,Patusan
48,186884_1,53619,Axphain
49,188233_2,26235,Alvonia
50,1924076_2,33022,Aldovia
51,1932067_1,36063,Gondal
52,1988116_1,25882,Cobra Island
53,200090_1,52815,Aldovia
54,2032072_1,36063,Gondal
55,2044287_1,48226,Glubbdubdrib
56,2109540_1,26235,Alvonia
57,2127366_1,32065,Nevoruss
58,2131681_1,47499,Kangan
59,2137312_2,27695,Kazahrus
60,2144488_2,55604,Sokovia
61,2186411_1,15261,Cobra Island
62,2202917_1,32392,The Devilfire Empire
63,2226296_1,3356,Cobra Island
64,2242654_1,34342,Sokovia
65,232325_1,40648,Syldavia
66,2326759_1,22175,Cobra Island
67,2345229_3,36063,Gondal
68,235043_1,3763,Glubbdubdrib
69,2388004_1,23714,Glubbdubdrib
70,2391231_2,9049,Fook Island
71,2401304_1,29770,Elbonia
72,2403371_2,26951,Elbonia
73,2405316_1,37874,Holy Britannian Empire
74,2422456_1,26436,Nova Africa
75,2426960_1,32392,The Devilfire Empire
76,2429779_1,26436,Nova Africa
77,2438737_1,44303,Gondal
78,2445294_1,2454,Gondal
79,2446002_1,28273,Holy Britannian Empire
80,2475839_1,20345,Fook Island
81,2486674_1,8335,Cobra Island
82,2506183_3,57658,Leutonia
83,2524242_1,59022,Glubbdubdrib
84,2525928_1,51259,Oceania
85,2532190_1,62593,"Merania, Kingdom of"
86,2540908_1,12734,Franchia
87,2544401_1,29770,Elbonia
88,2556382_1,63820,Leutonia
89,257551_1,45300,Gondal
90,2585413_1,2529,Bozatta
91,2596184_2,14211,Axphain
92,2610775_1,23714,Glubbdubdrib
93,2616897_1,27115,Gondal
94,2637527_1,53020,Gondal
95,2663466_1,56582,Lilliput
96,2666997_1,62135,Grenyarnia
97,2668133_3,31088,Fook Island
98,2682485_1,54085,Sokovia
99,2684185_4,3505,Glubbdubdrib
100,2698230_1,23243,São Rico
101,2720696_1,17127,Fook Island
102,2726787_1,4202,Kangan
103,2740294_1,60058,Alvonia
104,2748242_1,36063,Gondal
105,2771194_1,61020,Fook Island
106,2787478_1,11652,Borginia
107,2798253_1,39133,Patusan
108,2824571_1,26352,Elbonia
109,283221_1,6090,Axphain
110,2842238_1,60695,Edonia
111,2843939_1,21555,Alvonia
112,2850392_2,8719,Glubbdubdrib
113,2868029_1,17127,Fook Island
114,2875320_1,54603,Marina Venetta
115,2882376_1,46917,Fook Island
116,2890566_1,20704,Fook Island
117,2901839_1,36063,Gondal
118,2902003_4,29770,Elbonia
119,2914609_1,33785,Glubbdubdrib
120,2917689_1,17127,Fook Island
121,293239_2,21996,Cobra Island
122,2940458_1,23243,São Rico
123,2950610_2,51291,Glubbdubdrib
124,2969843_2,6005,Patusan
125,2970445_12,31531,"Merania, Kingdom of"
126,3037580_1,19448,Nova Africa
127,3044449_1,35160,Osterlich
128,3047358_2,11857,Bultan
129,3053301_4,52815,Aldovia
130,3064277_3,47499,Kangan
131,3082910_1,47486,Holy Britannian Empire
132,308613_1,35290,San Sombrèro
133,3096623_1,47499,Kangan
134,3097456_3,51259,Oceania
